STATION_NAME,PURCHASER_PIN,TAX IMPLICATION, VARIANCE 
LTO,654,726862000.96,4542923883
MTO,1307,296932014.56,1856079561
North of Nairobi,761,37536177.36,234806318
Eldoret,164,32698763.52,204367272
West of Nairobi,524,24446458.56,152790366
East of Nairobi,599,23003603.44,143784855
Mombasa North,339,21627327.36,135170796
PREMIER TAX OFFICE,71,14050290.56,87814316
NAKURU,170,13064974.24,81656089
South of Nairobi,269,11469459.68,71684123
SIAYA,23,8159143.68,50994648
Kakamega,51,8087872.8,50549205
Kisumu,96,7688882.72,48055517
Thika,122,7625036.0,47656475
KERICHO,78,6854065.92,42837912
Top 15 Totals,5228,1240106071.3600004,7751171336
Other 30 Station_name,916,61481436.87999999,384557395
Grand Totals,6144,1301587508.24,8135728731
