station_name,CONSIGNEE_PIN,ENTRY_NUMBER, ENTRY_TOTAL_AMOUNT_PAYABLE , CUSTOMS_VALUE 
North of Nairobi,198,1109,2103210622,5992622956.59
Mombasa North,101,545,1196968554,2538944931.82
West of Nairobi,137,310,672223802,2083043522.26
NAIVASHA,2,36,271331009,1694425929.17
East of Nairobi,124,338,561143114,1251144325.01
Mombasa South,21,77,190890282,459265156.15999997
South of Nairobi,42,83,173013252,325448322.57
KERICHO,1,11,12695621,218293205.63
KAJIADO,3,31,48809739,166019849.66
Thika,16,33,43222811,156222002.18
Top 10 Totals,645,2573,5273508806,14885430201.05
Other 19 Station_name,69,123,235143149,731495008.0999999
Grand Totals,713,2696,5508651955,15616925209.150002
