station_name,CONSIGNEE_PIN,ENTRY_NUMBER, CUSTOMS_VALUE 
North of Nairobi,198,1109,5992622956.59
Mombasa North,101,545,2538944931.82
West of Nairobi,137,310,2083043522.26
NAIVASHA,2,36,1694425929.17
East of Nairobi,124,338,1251144325.01
Mombasa South,21,77,459265156.15999997
South of Nairobi,42,83,325448322.57
KERICHO,1,11,218293205.63
KAJIADO,3,31,166019849.66
Thika,16,33,156222002.18
Top 10 Totals,645,2573,14885430201.05
Other 19 Station_name,69,123,731495008.0999999
Grand Totals,713,2696,15616925209.150002
