STATION_NAME,PURCHASER_PIN, VARIANCE 
LTO,654,4542923883
MTO,1307,1856079561
North of Nairobi,761,234806318
Eldoret,164,204367272
West of Nairobi,524,152790366
East of Nairobi,599,143784855
Mombasa North,339,135170796
PREMIER TAX OFFICE,71,87814316
NAKURU,170,81656089
South of Nairobi,269,71684123
SIAYA,23,50994648
Kakamega,51,50549205
Kisumu,96,48055517
Thika,122,47656475
KERICHO,78,42837912
Kisii,61,36898656
BUNGOMA,41,36260553
Mombasa South,131,30877545
KITALE,48,24806121
Machakos,64,24246801
Malindi,88,19621201
Nyeri,51,18366643
BUSIA,16,17684949
KAJIADO,29,17654715
DIANI,39,17161372
MOYALE,8,16590208
NANYUKI,20,14374551
Meru,53,12938390
MURANGA,13,12099747
HOMABAY,20,11232616
LODWAR,21,9378519
PUBLIC SECTOR DIVISION,7,9299126
KITUI,17,9188683
KIAMBU,31,8678692
Embu,21,7326602
KERUGOYA,25,6893220
NYAHURURU,20,6571255
NAIVASHA,31,5842263
LAMU,7,2477704
VOI,19,2036756
NAROK,11,1978453
WAJIR,5,1330720
ISIOLO,6,1286016
GARISSA,10,1095947
MARALAL,3,359371
